Name,City,Category,Type,Tags,Attaché Note,Website,Lat,Long,Country,Formatted Address
Court Street Bagels,Brooklyn,Food,Bagel shop,Food,"Unassuming, busy shop offering bagels & schmears in a range of flavors. Cash only.",,40.6880419,-73.9929869,,
Cream Co. Meats,Oakland,Food,Meat processor,Food,,http://creamcomeats.com/,37.7591992,-122.2086136,,
Da Crack,Koloa,Food,Mexican restaurant,"Food, Restaurant","Simple Mexican eatery serving up a casual menu featuring burritos, tacos & sides.",http://www.dacrackkauai.com/,21.8848115,-159.4681818,,
da Matteo Magasinsgatan,Inom Vallgraven,Food,Cafe,"Coffee, Food",,http://www.damatteo.se/,57.7028384,11.9623608,Sweden,"Magasinsgatan 17A, 411 18 Göteborg, Sweden"
Dalessandro's Steaks,Philadelphia,Food,Cheesesteak restaurant,"Food, Restaurant",Wareheim,http://www.dalessandros.com/,40.0295174,-75.2059901,,
Daniya Corner Myhighst,Seremban 2,Food,Indian Muslim Restaurant,"Food, Restaurant",,https://m.facebook.com/pages/Restoran-Daniya-Corner/1686928504911875,2.6950743,101.9098214,Malaysia,"207, Jalan S2 B11, Seremban 2, 70300 Seremban, Negeri Sembilan, Malaysia"
DC-3 Airplane wreck - Eyvindarholt - Iceland,,Food,Tourist attraction,Food,,https://www.eyvindarholt.is/places-to-visit/dc-3-airplane-wreck-in-eyvindarholt/,63.6487223,-19.9336201,,9CM2J3X8+FH
De Visserij piscadera,Willemstad,Food,Seafood restaurant,"Food, Restaurant",,https://www.facebook.com/piscaderanoreservations,12.1231753,-68.9691827,Curaçao,"42FJ+49V, Piscaderaweg, Willemstad, Curaçao"
Deli Grocery Breakfasr Hot & Cold Sandwiches,Bronx,Food,Deli,Food,,,40.8268463,-73.9252184,,
Delirium Café,Bruxelles,Food,Bar,"Bar, Food","Bar with more than 2000 types of beer, brewery memorabilia & live music on Thursday evenings.",https://www.deliriumvillage.com/,50.8485002,4.3538834,Belgium,"Imp. de la Fidélité 4, 1000 Bruxelles, Belgium"
Devicos Restaurant & D Lounge Bar,Vijaya Bank,Food,Gastropub,Food,"Indian & Chinese fast food & mains served in a casual, dimly lit space with split-level seating.",https://www.devicos.com/,31.105357,77.170735,India,"5, Mall Rd, Vijaya Bank, The Mall, Shimla, Himachal Pradesh 171001, India"
Don Café Street Art Coffee,Napoli,Food,Coffee shop,"Coffee, Food",,https://doncafe.it/,40.8417647,14.2476593,Italy,"Vico Lungo Teatro Nuovo, 39, 80134 Napoli NA, Italy"
Dovrehallen Restaurant 2etg. Oslo,Sentrum,Food,Restaurant,"Food, Restaurant",,http://www.dovrehallen.no/,59.9138215,10.7515403,Norway,"Storgata 22, 0184 Oslo, Norway"
Down Town Gallery,Fatih,Food,Art gallery,Food,,http://www.downtowngallery.com.tr/,41.0188283,28.9652325,Türkiye,"Sarıdemir, Kıble Çeşme Cd. No:37, 34134 Fatih/İstanbul, Türkiye"
Drive-in Restaurant Hawaii,Sakimotobu,Food,Restaurant,"Food, Restaurant",,https://hawaiiokinawa.net/,26.638083,127.881966,Japan,"4578 Sakimotobu, Motobu, Kunigami District, Okinawa 905-0225, Japan"
Dumpling Shack,London,Food,Dumpling restaurant,"Food, Restaurant","Easygoing, quick-serve market outpost offering handmade soup dumplings & noodles dishes.",https://dumplingshack.co.uk/,51.5197916,-0.0751714,United Kingdom,"Old Spitalfields Market, Brushfield St, London E1 6BG, UK"
Dunes Blanches Chez Pascal Paris Marais,Paris,Food,Pastry shop,Food,,https://dunesblanches.fr/,48.859848,2.3568578,France,"54 Rue des Archives, 75004 Paris, France"
È pronto o mangià,Napoli,Food,Restaurant,"Food, Restaurant",,,40.855492,14.26472,Italy,"Via Cesare Rosaroll, 65, 80139 Napoli NA, Italy"
Eastern Delights,,Food,Cha chaan teng (Hong Kong-style cafe),"Coffee, Food",,,22.3184657,114.1666938,Hong Kong,"10號 Shamchun St, Mong Kok, Hong Kong"
Eat Tokyo Tonkotsu ya,London,Food,Japanese restaurant,"Food, Restaurant",,https://www.eattokyo.co.uk/bond-street,51.5141499,-0.1476345,United Kingdom,"14 Woodstock St, London W1C 2AG, UK"
EDION NAMBA MAIN STORE,2,Food,Electrical supply store,Food,,https://search.edion.com/e_store/spot/detail?code=0000011917,34.6656673,135.5017984,Japan,"3-chōme-2-1 Namba, Chuo Ward, Osaka, 542-0076, Japan"
Eggbreak,London,Food,Breakfast restaurant,"Food, Restaurant","Hip cafe focused on egg dishes, from omelets to eggy pastas, in casual digs with juices and liquor.",https://eggbreak.com/?utm_source=google&utm_medium=local&utm_campaign=restaurant-eggbreak,51.5083375,-0.1978498,United Kingdom,"30 Uxbridge St, London W8 7TA, UK"
Egyptian Bazaar,Fatih,Food,Bazar,Food,"Covered, 17th-century market known as the Egyptian Bazaar, with spice, food & textile shops.",https://www.misircarsisi.org.tr/,41.0165001,28.9705194,Türkiye,"Rüstem Paşa, Fatih Mısır Caddesi No:34, 34116 Fatih/İstanbul, Türkiye"
Eighteen71 Cookhouse & Bar (Indian & Oriental Fine Dining Restaurant in  - Shimla),Shimla,Food,Restaurant,"Food, Restaurant","Indian & Asian fare, plus innovative cocktails, in a vibrant hotel eatery with wood & metal accents.",http://www.willowbanks.com/cookhouse-bar.php,31.1009666,77.1764367,India,"Mall Road, 90m from Tourism Lift towards High court, Bemloi, Shimla, Himachal Pradesh 171001, India"
El Jalisciense Birrieria,Mauricio Castro,Food,Restaurant,"Food, Restaurant",,,23.0596783,-109.7052011,Mexico,"Calle panga casi esquina pescadores 23443, Mauricio Castro, 23443 San José del Cabo, B.C.S., Mexico"
El Molino Central,Sonoma,Food,Mexican restaurant,"Food, Restaurant",Eric wareheim,http://www.elmolinocentral.com/,38.3151091,-122.4819805,,
El Rey del Gabrito,Centro,Food,Mexican restaurant,"Food, Restaurant",,https://elreydelcabrito.shop/,25.6636481,-100.3091324,Mexico,"Constitución 817-Oriente, Centro, 64000 Monterrey, N.L., Mexico"
EL TORO GÜERO SEAFOOD,Centro,Food,Seafood restaurant,"Food, Restaurant","Colorful eatery serving shrimp specialties, grilled fish & tacos in an airy, thatched-roof building.",http://www.eltoroguero.com/,23.0628889,-109.6988581,Mexico,"Idelfonso Green sn, Centro, 23400 San José del Cabo, B.C.S., Mexico"
Ellsworth,Paris,Food,Restaurant,"Food, Restaurant, Romantic","Snug, romantic establishment offering a fine-dining menu, in addition to natural wines.",http://www.ellsworthparis.com/,48.8655806,2.3369467,France,"34 Rue de Richelieu, 75001 Paris, France"
Empanadas El Machetico,El Poblado,Food,Restaurant,"Food, Restaurant",,http://www.instagram.com/lasempanadasdenico,6.2096693,-75.570163,Colombia,"Cl. 9 # 42 - 30, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia"
Empanadisimas la 10,El Poblado,Food,Fast food restaurant,"Food, Restaurant",,,6.2112547,-75.5724411,Colombia,"Cl 10 #43C - 71, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia"
Er Buchetto,Roma,Food,Sandwich shop,Food,"Renowned sandwiches with seasoned porchetta in crusty bread at an iconic, longstanding deli & bar.",,41.90104,12.4972493,Italy,"Via del Viminale, 2F, 00184 Roma RM, Italy"
Erick Schat's Bakery,Bishop,Food,Bakery,"Bakery, Food","European-style bakery & deli offering sweets, specialty breads & sandwiches in a quaint setting.",https://www.schatsbakery.com/,37.3678214,-118.3956881,,
Ermita Mezquita del Cristo de la Luz,Toledo,Food,Mosque,Food,"Modest, square former mosque, built in 999 CE, later converted into a Christian church.",https://toledomonumental.com/real-colegio-de-doncellas-nobles/,39.860605,-4.024193,Spain,"C. Cristo de la Luz, 22, 45002 Toledo, Spain"
Eromanga Oy,Helsinki,Food,Bakery,"Bakery, Food",,https://eromangakotileipomo.fi/,60.1655745,24.9500994,Finland,"Pohjoinen Makasiinikatu 6 A, 00130 Helsinki, Finland"
Es Trenc,Ses Covetes,Food,Beach,"Family Friendly, Food",Family-friendly beach offering clear & shallow waters for swimming & a modest bar/cafe.,,39.3435836,2.9828821,Spain,"8XVM+C5 Ses Covetes, Spain"
Ess-a-Bagel,New York,Food,Bagel shop,Food,Bustling cafe serving up bagels (with very large toppings selections) & made-to-order sandwiches.,http://www.ess-a-bagel.com/,40.7561836,-73.9701973,,
Ess-a-Bagel,New York,Food,Bagel shop,Food,"Contemporary bagel shop serving spreads & sandwiches, plus salads, knishes & daily soup options.",https://www.ess-a-bagel32.com/,40.7486649,-73.9893404,,
Excelsior Caffé,25,Food,Cafe,"Coffee, Food, View","Espressos, sandwiches & sweets in a contemporary, 3-level cafe space with city views.",https://shop.doutor.co.jp/doutor/spot/detail?code=5000023,35.6605611,139.6992968,Japan,"Ejimaya Bld., 25-1 Udagawachō, Shibuya, Tokyo 150-0042, Japan"
Ezell's Famous Chicken,Seattle,Food,Chicken restaurant,"Food, Restaurant",Local fast-food chain known for its housemade fried chicken plus down-home sides & desserts.,https://www.ezellschicken.com/,47.6616543,-122.3308776,,
Fabrique Klarabergsgatan 60,Stockholm,Food,Cafe,"Coffee, Food",,http://fabrique.se/,59.3317102,18.0596566,Sweden,"Klarabergsgatan 60, 111 21 Stockholm, Sweden"
Fairmount Bagel,al,Food,Bagel shop,Food,"Well-known bakery doling out varied flavors of bagels topped with cream cheese, plus other bites.",http://www.fairmountbagel.com/,45.5228777,-73.5951705,,
Fanny mae,6,Food,Bar,"Bar, Food",,https://ja-jp.facebook.com/fanny-mae-208317859229051/,34.6680773,135.5017266,Japan,"中和ディキシービル 4F, 1-chōme-6-6 Namba, Chuo Ward, Osaka, 542-0076, Japan"
Fat Sal's Deli,Los Angeles,Food,Sandwich shop,Food,Long-standing counter-serve chain serving guilty-pleasure sandwiches or salads.,https://www.fatsalsdeli.com/,34.0625191,-118.4480266,,
Fat Sal's Deli,Los Angeles,Food,Sandwich shop,Food,Long-standing counter-serve chain serving guilty-pleasure sandwiches or salads.,https://www.fatsalsdeli.com/,34.0923058,-118.3384277,,
Fat Sal's Deli Encino,Encino,Food,Sandwich shop,Food,Long-standing counter-serve chain serving guilty-pleasure sandwiches or salads.,https://www.fatsalsdeli.com/,34.1595728,-118.5013112,,
Fat's Chicken and Waffles,Seattle,Food,Southern restaurant (US),"Food, Restaurant","Small, stylish cafe offers Southern favorites such as chicken & waffles and catfish & greens.",http://fatschickenandwaffles.com/,47.6081583,-122.296447,,
Fauzia's Heavenly Delights,Bronx,Food,Restaurant,"Food, Restaurant",,https://www.fauziasheavenlydelights.com/,40.8261481,-73.9211804,,
Fiaschetteria Marini,Roma,Food,Roman restaurant,"Food, Restaurant",,,41.9086334,12.4982245,Italy,"Via Raffaele Cadorna, 9, 00187 Roma RM, Italy"
Figlmüller Bäckerstraße menu,Innere Stadt,Food,Austrian restaurant,"Food, Restaurant","Dining rooms with wood paneling, exposed bricks & wrought iron, serving classic Viennese cuisine.",https://figlmueller.at/,48.2092519,16.3755254,Austria,"Bäckerstraße 6, 1010 Wien, Austria"
Filomena Ristorante,Washington,Food,Italian restaurant,"Food, Restaurant",Pasta made in-house plus hearty Italian classics in an upscale restaurant with over-the-top decor.,http://www.filomena.com/,38.9044279,-77.0626066,,
Flavio al Velavevodetto,Roma,Food,Roman restaurant,"Food, Restaurant",,https://www.ristorantevelavevodetto.it/flavio-al-velavevodetto/#,41.8765558,12.4760277,Italy,"Via di Monte Testaccio, 97, 00153 Roma RM, Italy"
Flesh & Buns Covent Garden,London,Food,Japanese restaurant,"Food, Restaurant",Izakaya pub-style venue serving steamed buns with meat or seafood fillings.,https://www.fleshandbuns.com/restaurants/covent-garden/,51.5140027,-0.1256805,United Kingdom,"41 Earlham St, London WC2H 9LX, UK"
Flesh & Buns Oxford Circus,London,Food,Japanese restaurant,"Food, Restaurant","Izakaya-style restaurant & bar serving steamed buns with creative fillings in a chic, lively space.",https://www.fleshandbuns.com/restaurant/flesh-and-buns-oxford-circus/,51.5184089,-0.1372053,United Kingdom,"32 Berners St, London W1T 3LR, UK"
Frangasqueira Nacional,Lisboa,Food,Barbecue restaurant,"Bar, Food, Restaurant",,,38.7167034,-9.1504705,Portugal,"Tv. Monte do Carmo 19, 1200-276 Lisboa, Portugal"
Franguinho do Príncipe,Lisboa,Food,Chicken restaurant,"Food, Restaurant",,,38.7174338,-9.1516907,Portugal,"R. da Imprensa Nacional 116 B, Príncipe Real, 1250-127 Lisboa, Portugal"
Franky's Burger,Stockholm,Food,Hamburger restaurant,"Food, Restaurant","Compact American eatery with counter seating dishing up meat & veggie burgers, plus fries.",http://frankysburger.se/,59.3398088,18.060533,Sweden,"Tegnérgatan 16, 113 58 Stockholm, Sweden"
Frenchie Bar à Vins,Paris,Food,Restaurant,"Food, Restaurant",,https://www.frenchie-bav.com/,48.8678076,2.3479027,France,"6 Rue du Nil, 75002 Paris, France"
Fritland,Bruxelles,Food,Frituur,"Food, Outdoor Seating","Fast food joint with outdoor seating, a street-facing service hatch & traditional Belgian fries.",http://fritlandbrussels.be/acceuil,50.8474174,4.3506551,Belgium,"Rue Henri Maus 51, 1000 Bruxelles, Belgium"
Frituur Tabora,Bruxelles,Food,Frituur,Food,"Fries & sauces are dished up in this popular, compact kitchen with a laid-back vibe.",https://www.instagram.com/friterie.tabora/,50.8481434,4.3517136,Belgium,"Rue de Tabora 6, 1000 Bruxelles, Belgium"
Fukusuke Tamago,9,Food,Takeaways,Food,https://www.youtube.com/watch?v=g6miBSQ-a2M&ab_channel=TabiEats,https://www.fukusuke-tamago.com/,26.2150261,127.6883128,Japan,"2-chōme-9-11 Matsuo, Naha, Okinawa 900-0014, Japan"
Funawa Nakamise Shop No. 2,30,Food,Japanese confectionery shop,Food,Crema ice cream,https://funawa.jp/fr/2,35.711823,139.7963754,Japan,"1-chōme-30-1 Asakusa, Taito City, Tokyo 111-0032, Japan"
Fushimi Inari Taisha,Fukakusa Kaidoguchichō,Food,Shinto shrine,Food,Mountainside Shinto shrine dating from 711 A.D. featuring a path with hundreds of traditional gates.,https://inari.jp/,34.9676945,135.7791876,Japan,"45 Fukakusa Kaidoguchichō, Fushimi Ward, Kyoto, 612-0805, Japan"
Galerie 1 2 3,Genève,Food,Poster store,Food,,http://www.galerie123.com/,46.2028865,6.1572557,Switzerland,"Rue des Eaux-Vives 4, 1207 Genève, Switzerland"
Gandofly Seafood Restaurant,Zayed Port,Food,Seafood restaurant,"Food, Restaurant",,http://www.gandoflyrestaurant.com/,24.5140353,54.3754521,United Arab Emirates,146 Al Teelah St - Zayed Port - Harbour - Abu Dhabi - United Arab Emirates
Ganso Sapporo Ramen Yokocho,８,Food,Ramen restaurant,"Food, Restaurant","Dating from the 1950s, this narrow alley is known for its collection of small ramen restaurants.",http://www.ganso-yokocho.com/,43.0547818,141.3543874,Japan,"Japan, 〒064-0805 Hokkaido, Sapporo, Chuo Ward, Minami 5 Jōnishi, 3-chōme−８−８"
Gasthaus Pöschl,Innere Stadt,Food,Austrian restaurant,"Food, Restaurant","Low-key eatery known for Wiener Schnitzel & other typical Viennese dishes, plus draft beers.",http://www.xn--gasthauspschl-qmb.com/,48.2066898,16.373828,Austria,"Weihburggasse 17, 1010 Wien, Austria"
George's,New York,Food,American restaurant,"Food, Restaurant","Basic staple since 1950 for breakfast (omelets, pancakes & the like) & other short-order fare.",https://www.georges-ny.com/,40.7078386,-74.0134814,,
Giovanni's Shrimp Truck,Kahuku,Food,Seafood restaurant,"Food, Restaurant","Established, graffiti-decorated pit stop for a variety of shrimp plates & a garlic hot dog option.",http://www.giovannisshrimptruck.com/,21.6772582,-157.9487771,,
Glace Bachir,Paris,Food,Ice cream shop,Food,"Mellow place known for its organic, Lebanese-style ice cream topped with crushed pistachios.",http://bachir.fr/,48.8617905,2.3514498,France,"58 Rue Rambuteau, 75003 Paris, France"
Goldburger,Los Angeles,Food,Hamburger restaurant,"Food, Outdoor Seating, Restaurant",A streamlined menu of grass-fed double-patty cheeseburgers & fries served on a patio.,http://goldburgerla.com/,34.1194678,-118.1958786,,
Golden Horn Bridge,,Food,Bridge,"Food, Historic, View","River crossing over the Golden Horn, for trains & pedestrians, renowned for its city & sunset views.",,41.0225432,28.9667057,Türkiye,"Halıç, Türkiye"
Goofa Ashiana Restaurant,The Mall,Food,North Indian restaurant,"Food, Restaurant",,,31.1045697,77.1742262,India,"47, Middle Bazar, The Mall, Shimla, Himachal Pradesh 171001, India"
Gozsdu Court,VII. kerület,Food,,Food,,https://www.gozsduudvar.hu/,47.498467,19.0594862,Hungary,"Budapest, Madách Imre út 14, 1075 Hungary"
Graffiti Hall of Fame,New York,Food,Tourist attraction,Food,A longtime site where many well-known street artists show their skills on schoolyard walls.,https://www.facebook.com/grafhalloffame,40.7934338,-73.9480696,,
Granny's Donuts Inc,Long Beach,Food,Donut shop,Food,Wareheim,,33.7715714,-118.1528852,,
Gray's Papaya.,New York,Food,Hot dog restaurant,"Food, Restaurant",Chain of bargain all-night hot dog stands also serving tropical juices in a no-frills setting.,http://grayspapaya.nyc/,40.7783878,-73.9815659,,
Green Harbor Lobster Pound Inc,Marshfield,Food,Seafood restaurant,"Food, Restaurant","Waterside shack featuring a menu of lobster rolls, clam chowder & fried seafood, plus picnic tables.",http://www.greenharborlobsterpound.com/,42.0791927,-70.6487455,,
Greenberg's Bagels Bed Stuy,Brooklyn,Food,Bagel shop,Food,"Compact, familiar take-out spot with bagels, pastries & hearty sandwiches, plus coffee & raw juice.",http://www.greenbergsbagels.com/,40.6875382,-73.9544709,,
Greenspot Restaurant - Smoked Meat - Breakfast - Burgers,Le Sud-Ouest,Food,Qubcois restaurant,"Food, Historic, Restaurant","Hot dogs, pizza & poutine with thick-cut fries are some of the choices at this old-school diner.",,45.4809248,-73.5788376,Canada,"3041 R. Notre Dame O, Montréal, QC H4C 1N9, Canada"
Grote Knip,Willemstad,Food,Beach,Food,Serene white sandy beach & lagoon in a high rock cove known for clear water & snorkeling.,,12.351851,-69.1514523,Curaçao,"9R2X+JGR, Willemstad, Curaçao"
Günters,Stockholm,Food,Hot dog restaurant,"Food, Restaurant",,https://www.facebook.com/G%C3%BCnters-korvar-74862090486/?fref=ts,59.3425,18.0325,Sweden,"Karlbergsvägen 66, 113 35 Stockholm, Sweden"
Gurkha Memorial Museum,Pokhara,Food,Museum,"Food, Historic, Museum",Museum with interactive multimedia exhibits dedicated to the history of Nepal's Gurkha soldiers.,http://gurkhamuseum.org.np/,28.2462382,83.9885845,Nepal,"6XWQ+FCW, Lamachaur Rd, Pokhara 33700, Nepal"
Hachimaruhachi,11,Food,Takoyaki restaurant,"Food, Restaurant",Takoyaki,https://hjt7.inukubou.com/tako/index.html,34.665408,135.5035361,Japan,"11-23 Nanbasennichimae, Chuo Ward, Osaka, 542-0075, Japan"
Hacienda - Manila,El Poblado,Food,Colombian restaurant,"Food, Restaurant",,http://www.haciendaorigen.com/,6.2139902,-75.5725915,Colombia,"Cl. 12 # 43D-114, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia"
Haldiram's - Connaught Place,Block L,Food,Restaurant,"Food, Restaurant","Bustling counter-service mainstay serving an extensive menu of hearty fare, with vegetarian options.",https://www.haldiram.com/?utm_store=locator&utm_medium=googleplaces,28.6340427,77.2222161,India,"6, L Block, Connaught Cir, Block L, Connaught Place, New Delhi, Delhi 110001, India"
Hali'imaile General Store,Haliimaile,Food,Hawaiian restaurant,"Food, Restaurant",Acclaimed destination for Hawaiian regional cuisine features a pineapple plantation-styled setting.,http://www.hgsmaui.com/,20.8680891,-156.3399453,,
Hall Market,Vilnius,Food,Market,"Food, Market","Traditional vendors selling produce, meat & cheese in a roomy structure built in 1906.",http://www.halesturgaviete.lt/,54.6738982,25.2858533,Lithuania,"Pylimo g. 58, 01136 Vilnius, Lithuania"
Hamasushi Akihabara,18,Food,Conveyor belt sushi restaurant,"Food, Restaurant",,https://maps.hama-sushi.co.jp/jp/detail/5391.html,35.6987777,139.7723062,Japan,"1-chōme-18-18 Sotokanda, Chiyoda City, Tokyo 101-0021, Japan"
Hamura Saimin,Lihue,Food,Noodle shop,Food,"No-frills, counter-serve space for saimin (a classic Hawaiian noodle soup) & lilikoi chiffon pie.",https://hamurasaimin.site/,21.9716326,-159.3659121,,
Hanamikoji Street,Hashimotochō,Food,Restaurant,"Food, Restaurant",Geishas at night,,35.0054928,135.7752402,Japan,"396-2 Hashimotochō, Higashiyama Ward, Kyoto, 605-0083, Japan"
Hannah Japanese restaurant,London,Food,Restaurant,"Food, Restaurant",Bento box lunch menu & chef's-choice dinner service in modern interiors with warm lighting.,https://www.hannahrestaurant.london/,51.5012139,-0.1185127,United Kingdom,"County Hall, London SE1 7PB, UK"
Hao Noodle,New York,Food,Chinese restaurant,"Food, Restaurant","Restaurant serving housemade noodles and authentic Chinese recipes, plus specialty teas in an intimate setting.",http://haonoodle.com/,40.7407336,-74.0043284,,
hara kako (Sheung Wan),,Food,Coffee shop,"Coffee, Food",,http://www.instagram.com/harakakohk,22.2865258,114.1470914,Hong Kong,"Shop B, Hollywood Centre, 77-91 Queen's Rd W, Sheung Wan, Hong Kong"
hara kako (Wan Chai),,Food,Restaurant,"Food, Restaurant",,https://www.instagram.com/harakakohk,22.2762011,114.1692554,Hong Kong,"11 St Francis St, Wan Chai, Hong Kong"
Harold's Chicken Shack Fish & Pizza,Chicago,Food,Restaurant,"Food, Restaurant","An outpost of the longrunning Chicago chain, known for its fried chicken served with white bread.",http://haroldschickenhydepark.com/,41.8000542,-87.5960602,,
Hinode Udon,Nanzenji Kitanobōchō,Food,Udon noodle restaurant,"Food, Restaurant",,,35.0163821,135.7936413,Japan,"36 Nanzenji Kitanobōchō, Sakyo Ward, Kyoto, 606-8446, Japan"
Hitoshi Ishiganto,Ōkawa,Food,Izakaya restaurant,"Food, Restaurant","Easygoing restaurant specializing in classic seafood dishes, plus sushi & dumplings.",https://www.instagram.com/hitoshigroup/,24.3399947,124.1593986,Japan,"197-1 Ōkawa, Ishigaki, Okinawa 907-0022, Japan"
HOKO Hong Kong Cafe,London,Food,Cha chaan teng (Hong Kong-style cafe),"Coffee, Food",,http://hokolondon.co/,51.5246475,-0.0714316,United Kingdom,"224 Brick Ln, London E1 6SA, UK"
Holy Catholic Cathedral of Saint Francis of Assisi,Rodos,Food,Catholic cathedral,Food,,http://www.catholicchurchrhodes.com/,36.4393214,28.224973,Greece,"Dimokratias 28, Rodos 851 32, Greece"
Hongdae Pocha,London,Food,Korean restaurant,"Food, Restaurant","Traditional Korean fare for lunch & dinner in a minimalist, modern space with light wood details.",https://hongdaepocha.com/,51.5130556,-0.1308605,United Kingdom,"26 Romilly St, London W1D 5AJ, UK"
Honke Nishio Yatsuhashi (Kiyomizu Store),1-chōme,Food,Japanese confectionery shop,Food,,https://www.8284.co.jp/shop/kiyomizu.html,34.9956347,135.7825549,Japan,"1-chōme-277 Kiyomizu, Higashiyama Ward, Kyoto, 605-0862, Japan"
Honke Nishio Yatsuhashi Shin-kyogoku Store,Nakanochō,Food,Japanese confectionery shop,Food,,https://www.8284.co.jp/shop/shinkyogoku.html,35.0047558,135.7671305,Japan,"541-3 Nakanochō, Nakagyo Ward, Kyoto, 604-8042, Japan"
Honke Owariya Main Branch,Niōmontsukinukechō,Food,Soba noodle shop,Food,,http://honke-owariya.co.jp/,35.0127635,135.7601488,Japan,"322 Niōmontsukinukechō, Nakagyo Ward, Kyoto, 604-0841, Japan"
Hop Kee Restaurant,New York,Food,Chinese restaurant,"Food, Restaurant","Cash-only Chinese spot serving traditional Cantonese fare in a no-frills basement locale, open late.",http://www.hop-kee-nyc.com/,40.7144074,-73.9990328,,
Hop Lee,New York,Food,Chinese restaurant,"Food, Restaurant",Bustling mainstay dishing out a variety of Cantonese seafood dishes & more in a compact space.,http://www.hopleenyc.com/,40.714271,-73.9986282,,
Hoppers Soho,London,Food,Sri Lankan restaurant,"Food, Restaurant","Sri Lankan & South Indian cuisine & exotic cocktails served against a hip, vibrant backdrop.",http://www.hopperslondon.com/,51.5136031,-0.1316696,United Kingdom,"49 Frith St, London W1D 4SG, UK"
Hotel Mika Downtown,VII. kerület,Food,Restaurant,"Food, Restaurant",,http://www.hotelmika.com/,47.499326,19.0609078,Hungary,"Budapest, Kazinczy u. 47, 1075 Hungary"
Hotel Yak & Yeti,Kathmandu,Food,Restaurant,"Food, Restaurant",,https://www.yakandyeti.com/,27.7114951,85.3197981,Nepal,"Durbar Marg, Kathmandu 44600, Nepal"
Hötorgshallen,Stockholm,Food,Market,"Food, Market","Indoor, 2-level market featuring specialty ingredients & prepared foods from around the world.",https://hotorgshallen.se/,59.3341667,18.0627779,Sweden,"Sergels Torg 29, 111 57 Stockholm, Sweden"
I Goliardi Roma,Roma,Food,Restaurant,"Food, Restaurant",,,41.9091392,12.489775,Italy,"Via Sardegna, 26, 00187 Roma RM, Italy"
I'Tuscani 2,Firenze,Food,Steak house,Food,"Platters of steaks & grilled vegetables, plus Tuscan wines & liqueurs, in a colorful dining room.",https://ituscani.com/,43.7720236,11.2495106,Italy,"Piazza di S. Pancrazio, 2r, 50125 Firenze FI, Italy"
Icchan Ramen,Minamimonzenchō,Food,Ramen restaurant,"Food, Restaurant",Laid-back hangout dishing up ramen & jerk chicken with reggae music playing in the background.,https://www.youtube.com/channel/UCoX6q2jd9cA1uYzeedhHfkQ,35.0102615,135.7788979,Japan,"542-1 Minamimonzenchō, Sakyo Ward, Kyoto, 606-8346, Japan"
IEKEI TOKYO,2,Food,Ramen restaurant,"Food, Restaurant",,https://twitter.com/iekeitokyo,35.7043665,139.7723681,Japan,"Japan, 〒101-0021 Tokyo, Chiyoda City, Sotokanda, 5-chōme−2−７ 外神田下村ビル 1階"
IL CAPPUCCINO,Toledo,Food,Coffee store,"Coffee, Food",,http://ilcappuccino.es/,39.8588002,-4.0220533,Spain,"Pl. de la Magdalena, 4, 45001 Toledo, Spain"
Il Cuoppo | San Biagio Dei Librai,Napoli,Food,Fast food restaurant,"Food, Restaurant","Tiny grill bar frying up zucchini flowers, mozzarella balls, anchovies & seafood to take out.",,40.8492543,14.2576163,Italy,"Via San Biagio Dei Librai, 23, 80138 Napoli NA, Italy"
Il Localino,Roma,Food,Restaurant,"Food, Restaurant","Classic fare like spaghetti alle vongole, hake fillet & grilled calamari at an elegant osteria.",http://osteriaillocalino.it/,41.9084776,12.4878164,Italy,"Via Lazio, 24, 00187 Roma RM, Italy"
Immigrant Food White House,Washington,Food,Restaurant,"Food, Restaurant","Relaxed eatery featuring an international menu with brunch staples, bowls, sandwiches & sangria.",https://immigrantfood.com/,38.899264,-77.0401387,,
In's Point,,Food,Shopping mall,Food,"Bustling arcade known for its stores selling Lego products & other toys, plus collectibles.",https://www.facebook.com/inspointhk/,22.3133429,114.1708509,Hong Kong,"Hong Kong, Yau Ma Tei, Nathan Rd, Wing Kiu Building, In’s Point 1/F, Shop 136"
Innsbruck Tourismus,Innenstadt,Food,Tourist information center,Food,,https://www.innsbruck.info/,47.2672233,11.3939377,Austria,"Burggraben 3, 6020 Innsbruck, Austria"
Ishigakiya,Maezato,Food,Yakiniku restaurant,"Food, Restaurant",,https://ishigakiya.com/,24.338558,124.180109,Japan,"547-7 Maezato, Ishigaki, Okinawa 907-0002, Japan"
Ishiyacho,Nakagyo Ward,Food,Restaurant,"Food, Restaurant",,,35.0083715,135.7710423,Japan,"Japan, 〒604-8002 Kyoto, Nakagyo Ward, Ishiyachō, 三条南入ル石屋町122-4 2F"
Izakaya Toyo,2,Food,Izakaya restaurant,"Food, Restaurant","Simple street-food stand specializing in tuna cheeks, sashimi & other classic fish dishes.",https://www.instagram.com/izakayatoyo/?hl=ja,34.697203,135.5351173,Japan,"3-chōme-2-26 Higashinodamachi, Miyakojima Ward, Osaka, 534-0024, Japan"
